Month, Searches in Billion ,ETH,BTC,BNB
2024-07,623.5,12.47,155.875,18.705
2024-08,630,12.6,157.5,18.9
2024-09,637.5,12.75,133.875,25.5
2024-10,645,6.45,141.9,19.35
2024-11,652.5,26.1,345.825,32.625
2024-12,660,26.4,303.6,33
2025-01,667.5,20.025,246.975,33.375
2025-02,673,20.19,208.63,26.92
2025-03,680.5,13.61,210.955,20.415
2025-04,688,13.76,192.64,20.64
2025-05,695.5,13.91,180.83,20.865
2025-06,703,14.06,168.72,14.06
2025-07,710.5,28.42,206.045,21.315
