open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp,Halving
0.05815725,0.06158806,0.04864654,0.05640216,261.54,190259.65,3373268.861,0.664578977,2010-07-14 23:59:59.999000+00:00,
0.05640261,0.06795437,0.05396921,0.05756808,445.8,195982.14,3404354.288,0.921522377,2010-07-15 23:59:59.999000+00:00,
0.05800138,0.07222029,0.05748353,0.0664917,497.25,228047.42,3429712.581,0.744878192,2010-07-16 23:59:59.999000+00:00,
0.0664999,0.07773513,0.05741781,0.06599255,19.99,226904.8,3438339.631,0.251538573,2010-07-17 23:59:59.999000+00:00,
0.06608795,0.0808581,0.06422061,0.0788138,75.13,271669.2,3446975.022,0.251150041,2010-07-18 23:59:59.999000+00:00,
0.07879913,0.08360209,0.06903579,0.07416855,573.24,256302.41,3455675.081,0.252396911,2010-07-19 23:59:59.999000+00:00,
0.07413588,0.07751477,0.06428795,0.07195755,262.35,249313.13,3464725.105,0.261888762,2010-07-20 23:59:59.999000+00:00,
0.07193466,0.07646131,0.06425164,0.07439057,572.81,258512.82,3475075.134,0.298725822,2010-07-21 23:59:59.999000+00:00,
0.07417871,0.07503002,0.05103308,0.05887483,2167.06,205112.55,3483875.028,0.253228882,2010-07-22 23:59:59.999000+00:00,
0.0588808,0.06889604,0.05570779,0.06263688,2398.46,218826.51,3493572.956,0.278366127,2010-07-23 23:59:59.999000+00:00,
0.0626421,0.07964052,0.06156405,0.06975554,496.83,244352.06,3502977.111,0.269184459,2010-07-24 23:59:59.999000+00:00,
0.06976299,0.07825864,0.06472816,0.06895142,1555.03,242332.21,3514535.451,0.329957622,2010-07-25 23:59:59.999000+00:00,
0.06903911,0.07998891,0.05892958,0.06270989,876.44,221157.41,3526675.138,0.34541371,2010-07-26 23:59:59.999000+00:00,
0.06294483,0.07577893,0.06183226,0.06799023,3370.9,240347.17,3535025.106,0.236765991,2010-07-27 23:59:59.999000+00:00,
0.06798962,0.07253266,0.05885122,0.06786455,4386.99,240439.02,3542925.135,0.223478742,2010-07-28 23:59:59.999000+00:00,
0.06785855,0.07019877,0.05314922,0.06375633,8091.7,226457.71,3551925.119,0.254026909,2010-07-29 23:59:59.999000+00:00,
0.06373855,0.06869885,0.05247866,0.06366964,3013.58,226729.45,3561029.244,0.256315241,2010-07-30 23:59:59.999000+00:00,
0.06367021,0.07127451,0.0602027,0.06975885,4033.25,249124.55,3571225.013,0.286315227,2010-07-31 23:59:59.999000+00:00,
0.06970508,0.07158763,0.05164856,0.06046468,2595.17,216655.53,3583175.004,0.334618819,2010-08-01 23:59:59.999000+00:00,
0.06044506,0.06370065,0.05220235,0.06,3595.64,215716.5,3595275,0.337689228,2010-08-02 23:59:59.999000+00:00,
0.05998519,0.06212797,0.04965671,0.06,9856.36,216397.5,3606625,0.315692124,2010-08-03 23:59:59.999000+00:00,
0.05997899,0.06316557,0.05218974,0.0596818,3503.64,215975.01,3618775.07,0.336882001,2010-08-04 23:59:59.999000+00:00,
0.05960335,0.06155211,0.04962078,0.06076188,5016.59,220545.88,3629675.053,0.301206408,2010-08-05 23:59:59.999000+00:00,
0.06076835,0.07122494,0.05728608,0.06181723,1397.31,224830.82,3637025.147,0.202500047,2010-08-06 23:59:59.999000+00:00,
0.06115977,0.067016,0.05067227,0.05964825,2625.28,217398.49,3644675.074,0.21033475,2010-08-07 23:59:59.999000+00:00,
0.05967849,0.07118531,0.05511138,0.06085148,2201.06,222388.2,3654606.264,0.272484921,2010-08-08 23:59:59.999000+00:00,
0.06084069,0.06840335,0.0551871,0.06613738,13620.25,242337.97,3664160.419,0.261427739,2010-08-09 23:59:59.999000+00:00,
0.06612978,0.07369883,0.06001432,0.06570639,1304.75,241390.5,3673775.108,0.262398143,2010-08-10 23:59:59.999000+00:00,
0.06572198,0.07164571,0.06002559,0.06336595,14095.69,233527.29,3685375.032,0.315749435,2010-08-11 23:59:59.999000+00:00,
0.06330224,0.0647802,0.05121367,0.0611463,2055.26,226013.55,3696275.163,0.295767217,2010-08-12 23:59:59.999000+00:00,
0.06134036,0.07395598,0.05900163,0.06306071,3601.97,233767.63,3707025.024,0.290829565,2010-08-13 23:59:59.999000+00:00,
0.06290812,0.0667319,0.05325986,0.06299919,4404.59,234424.72,3721075.144,0.379013357,2010-08-14 23:59:59.999000+00:00,
0.06318722,0.08734873,0.06318722,0.07724812,4462.17,288245.57,3731425.05,0.27814288,2010-08-15 23:59:59.999000+00:00,
0.07745849,0.11456039,0.07745849,0.09506984,10678.23,355444.75,3738775.094,0.196976879,2010-08-16 23:59:59.999000+00:00,
0.09426671,0.09426671,0.05347087,0.06116077,13207.49,229060.85,3745225.085,0.17251614,2010-08-17 23:59:59.999000+00:00,
0.06118207,0.07894217,0.06042814,0.0680466,2957.23,255298.94,3751825.073,0.176224073,2010-08-18 23:59:59.999000+00:00,
0.06809194,0.07924876,0.06455044,0.06995843,737.31,262947.51,3758625.086,0.181245485,2010-08-19 23:59:59.999000+00:00,
0.06994254,0.07134897,0.05853218,0.06581428,4171.63,248006.31,3768275.061,0.256742152,2010-08-20 23:59:59.999000+00:00,
0.06581683,0.07126125,0.06192653,0.06839827,10441.99,258335.14,3776925.06,0.229547956,2010-08-21 23:59:59.999000+00:00,
0.06833647,0.07045037,0.05645733,0.06780827,18735.84,256825.52,3787525.032,0.280650851,2010-08-22 23:59:59.999000+00:00,
0.06782906,0.08351181,0.06532217,0.06680966,4305.16,253754.79,3798175.144,0.281189222,2010-08-23 23:59:59.999000+00:00,
0.06683719,0.07352146,0.0594175,0.06610902,6698.65,251804.3,3808925.015,0.283027257,2010-08-24 23:59:59.999000+00:00,
0.06611096,0.07419961,0.06185419,0.06800457,4244.57,259758.76,3819725.057,0.283545662,2010-08-25 23:59:59.999000+00:00,
0.06833609,0.08441321,0.06359481,0.06947311,3870.7,266082.45,3830006.315,0.269162251,2010-08-26 23:59:59.999000+00:00,
0.06946493,0.07358336,0.05874443,0.06647771,8983.94,255192.98,3838775.132,0.228950474,2010-08-27 23:59:59.999000+00:00,
0.06650665,0.07261219,0.06273338,0.0667521,6132.59,256813.69,3847275.067,0.221423095,2010-08-28 23:59:59.999000+00:00,
0.0667281,0.06833839,0.05420022,0.06034821,3161.99,232664.99,3855375.164,0.210541134,2010-08-29 23:59:59.999000+00:00,
0.06071818,0.08276142,0.06071818,0.06623912,34120.32,255868.75,3862804.186,0.192692589,2010-08-30 23:59:59.999000+00:00,
0.06609732,0.06968147,0.05670864,0.06803799,14874,263444.8,3872025.026,0.238708456,2010-08-31 23:59:59.999000+00:00,
0.06806474,0.07830443,0.06248935,0.06274802,7184.24,243454.48,3879875.094,0.20273805,2010-09-01 23:59:59.999000+00:00,
0.06252651,0.06697775,0.05055178,0.06260652,8145.96,243393.16,3887664.735,0.200770411,2010-09-02 23:59:59.999000+00:00,
0.06245932,0.06371833,0.04975507,0.06023277,893.97,234657.09,3895837.598,0.210225504,2010-09-03 23:59:59.999000+00:00,
0.06021975,0.06300325,0.05183021,0.06000862,3298.27,234329.17,3904925.159,0.233263344,2010-09-04 23:59:59.999000+00:00,
0.0599639,0.06631414,0.04954392,0.06040329,8470.29,236368.65,3913175.094,0.211269978,2010-09-05 23:59:59.999000+00:00,
0.06038112,0.0700265,0.05289961,0.0607938,911.23,238377.05,3921075.011,0.201879986,2010-09-06 23:59:59.999000+00:00,
0.06079001,0.06639693,0.05294169,0.06035231,3455.8,237128.76,3929075.126,0.204028608,2010-09-07 23:59:59.999000+00:00,
0.06027728,0.0630562,0.05008993,0.06010664,2340.15,236659.38,3937325.061,0.20997143,2010-09-08 23:59:59.999000+00:00,
0.0599086,0.0627864,0.04868664,0.06052719,1736.18,238723.78,3944075.051,0.171435942,2010-09-09 23:59:59.999000+00:00,
0.06050717,0.06379616,0.05052252,0.06019632,4936.59,237951.54,3952925.029,0.224386655,2010-09-10 23:59:59.999000+00:00,
0.06017494,0.06341174,0.05241827,0.06341174,7687.5,251165.98,3960875.068,0.201117878,2010-09-11 23:59:59.999000+00:00,
0.06340796,0.06416082,0.05189028,0.06011142,795.76,238628.82,3969775.128,0.22469932,2010-09-12 23:59:59.999000+00:00,
0.06011416,0.07478364,0.05748058,0.06111882,10050.56,243147.48,3978275.104,0.214117331,2010-09-13 23:59:59.999000+00:00,
0.06105726,0.06988858,0.05539318,0.06071952,14066.33,242175.26,3988425.139,0.255136577,2010-09-14 23:59:59.999000+00:00,
0.06080235,0.08798316,0.05730564,0.08017105,3660.94,320437.68,3996925.075,0.213115082,2010-09-15 23:59:59.999000+00:00,
0.0805732,0.11092045,0.07697634,0.09092079,728.74,364395.76,4007837.591,0.273022801,2010-09-16 23:59:59.999000+00:00,
0.09079794,0.09283079,0.0492891,0.05914367,7282.76,237653.93,4018247.938,0.259749703,2010-09-17 23:59:59.999000+00:00,
0.05908685,0.06243013,0.05061776,0.06072073,7101.38,244712.14,4030125.132,0.295581419,2010-09-18 23:59:59.999000+00:00,
0.06071987,0.0649648,0.05456786,0.06011195,12917.52,242886.85,4040575.127,0.259297036,2010-09-19 23:59:59.999000+00:00,
0.06011121,0.06676625,0.05534209,0.0605423,14317.24,245240.21,4050725.03,0.251199471,2010-09-20 23:59:59.999000+00:00,
0.0607776,0.07497785,0.05942079,0.06011619,5709.85,244028.53,4059281.368,0.211229791,2010-09-21 23:59:59.999000+00:00,
0.0601967,0.06785769,0.05927085,0.06167253,11538.45,250885.4,4068025.1,0.215400968,2010-09-22 23:59:59.999000+00:00,
0.06170115,0.0736575,0.05888536,0.06064239,15540.26,247402.51,4079695.902,0.286891121,2010-09-23 23:59:59.999000+00:00,
0.06047148,0.06305114,0.05068443,0.06081969,684.36,248820.96,4091125.095,0.280148136,2010-09-24 23:59:59.999000+00:00,
0.06081925,0.0650894,0.05058748,0.06068186,2151.86,248882.1,4101425.039,0.25176312,2010-09-25 23:59:59.999000+00:00,
0.06069929,0.0684222,0.0568917,0.06072084,12046.65,249667.4,4111725.068,0.251132949,2010-09-26 23:59:59.999000+00:00,
0.06098513,0.07822057,0.05782159,0.06095292,10723.37,251319.56,4123175.067,0.278471891,2010-09-27 23:59:59.999000+00:00,
0.0609233,0.06640338,0.05602733,0.06121943,7092.92,253063.91,4133718.821,0.255719291,2010-09-28 23:59:59.999000+00:00,
0.06133085,0.0746173,0.05970288,0.06030913,23481.6,249798.91,4141975.021,0.199728148,2010-09-29 23:59:59.999000+00:00,
0.06025938,0.06209852,0.05215235,0.06186567,7944.9,256697.68,4149275.034,0.17624474,2010-09-30 23:59:59.999000+00:00,
0.06202535,0.07052552,0.05860708,0.06042254,1720.37,251174.99,4156975.03,0.185574476,2010-10-01 23:59:59.999000+00:00,
0.06042745,0.07585109,0.05756717,0.06005344,13073.68,249940.92,4161975.068,0.120280685,2010-10-02 23:59:59.999000+00:00,
0.06013844,0.07013507,0.05622548,0.06043778,7177.04,251909.2,4168075.002,0.146563457,2010-10-03 23:59:59.999000+00:00,
0.06045428,0.0746667,0.05620154,0.06092854,33882.93,254420.83,4175725.038,0.183538823,2010-10-04 23:59:59.999000+00:00,
0.06092591,0.06481465,0.05592147,0.06087452,27480.57,254578.77,4182025.09,0.150873258,2010-10-05 23:59:59.999000+00:00,
0.06092316,0.07720292,0.06092316,0.06262883,33430.03,262450.81,4190575.012,0.204444523,2010-10-06 23:59:59.999000+00:00,
0.06270507,0.07316918,0.05495522,0.06535092,43702.18,274380.74,4198575.016,0.190904701,2010-10-07 23:59:59.999000+00:00,
0.06582946,0.09967087,0.06582946,0.08023021,138930.13,337470,4206270.93,0.183298223,2010-10-08 23:59:59.999000+00:00,
